job_type,build_id,pr_number,result,job_start,job_end,total_s,create_end,olm_end,test_end,destroy_end,pre_test_s,test_s,post_s,test_step_name,failure_category,failure_signals,log_fetched
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2035045027842887680,1256,FAILURE,1774027525,1774034569,7044,1774030305,1774030314,1774031352,1774034553,2780,1038,3217,e2e-predictor,test:assertion,"FAILED .*::test_, \d+ failed.*\d+ passed",True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2035043833934254080,1196,FAILURE,1774027239,1774033369,6130,1774029697,1774029706,1774031198,1774033349,2458,1492,2171,e2e-predictor,test:assertion,FAILED .*::test_,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2035043356379189248,1196,ABORTED,1774027127,1774027225,98,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2035034805917192192,1257,FAILURE,1774025087,1774034401,9314,1774026814,,,,1727,,,,platform:provision,timed out.*clusterversions/,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2035031566433914880,1257,ABORTED,1774024317,1774025077,760,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2035028153738465280,1196,ABORTED,1774023501,1774028748,5247,1774025158,1774025169,1774026659,1774028733,1657,1490,2089,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2035026560267849728,1257,ABORTED,1774023123,1774026273,3150,1774024606,,,1774026258,1483,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2035007197879996416,1256,FAILURE,1774018506,1774023890,5384,1774020427,1774020435,1774021445,1774023874,1921,1010,2445,e2e-predictor,test:assertion,"FAILED .*::test_, \d+ failed.*\d+ passed",True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034925381860986880,1249,ABORTED,1773999001,1774002927,3926,1774000116,1774000125,1774000869,1774002911,1115,744,2058,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034923220053790720,1196,FAILURE,1773998483,1774003382,4899,1773999925,1773999934,1774001444,1774003366,1442,1510,1938,e2e-predictor,test:assertion,FAILED .*::test_,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034907249561833472,1196,FAILURE,1773994675,1773998183,3508,1773996048,1773996056,1773996298,1773998167,1373,242,1885,e2e-predictor,platform:ci-infra,executable file.*not found,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034907049787133952,1196,ABORTED,1773994628,1773994662,34,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034906128285962240,1253,FAILURE,1773994413,1773998887,4474,1773996045,1773996054,1773997076,1773998871,1632,1022,1811,e2e-predictor,test:assertion,"FAILED .*::test_, \d+ failed.*\d+ passed",True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034887000405839872,1196,FAILURE,1773989847,1773993826,3979,1773991627,1773991635,1773991853,1773993810,1780,218,1973,e2e-predictor,platform:ci-infra,executable file.*not found,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034886084868968448,1196,ABORTED,1773989630,1773989834,204,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034740650498330624,1253,FAILURE,1773954955,1773959824,4869,1773956762,1773956771,1773957781,1773959808,1807,1010,2043,e2e-predictor,test:assertion,"FAILED .*::test_, \d+ failed.*\d+ passed",True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034737687876866048,1253,ABORTED,1773954249,1773954942,693,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034736809811906560,1253,ABORTED,1773954041,1773954236,195,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034701652337889280,1196,FAILURE,1773945657,1773950007,4350,1773947412,1773947423,1773948429,1773949991,1755,1006,1578,e2e-predictor,test:assertion,"FAILED .*::test_, \d+ failed.*\d+ passed",True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034698378759114752,1196,ABORTED,1773944877,1773945644,767,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034678723441070080,1251,SUCCESS,1773940195,1773944890,4695,1773941477,1773941488,1773942532,1773944875,1282,1044,2358,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034672876505796608,1251,ABORTED,1773938796,1773942283,3487,1773940204,,,1773942268,1408,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034661811868930048,1251,ABORTED,1773936157,1773941096,4939,1773938807,,,1773941081,2650,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034656664157687808,1196,FAILURE,1773935483,1773943132,7649,1773937009,,,1773943117,1526,,,,platform:provision,timed out.*clusterversions/,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034654873814831104,1250,ABORTED,1773934505,1773938477,3972,1773936188,,,1773938462,1683,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034653313592463360,1249,SUCCESS,1773934133,1773940597,6464,1773935477,1773935489,1773936497,,1344,1008,4100,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034646828955209728,1196,ABORTED,1773932586,1773936471,3885,1773934133,1773934141,1773934157,1773936456,1547,16,2314,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034645269265518592,1196,ABORTED,1773932217,1773932567,350,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034599708202110976,1196,FAILURE,1773921351,1773922122,771,,,,,,,,,platform:provision,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034588012532207616,1246,SUCCESS,1773918564,1773923645,5081,1773920317,1773920327,1773921393,1773923630,1753,1066,2252,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034581542226890752,1196,ABORTED,1773917020,1773922301,5281,1773918587,1773918635,1773919774,1773922285,1567,1139,2527,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034551544484990976,1196,FAILURE,1773909869,1773916062,6193,1773911591,1773911600,1773912634,1773916046,1722,1034,3428,e2e-predictor,test:assertion,"FAILED .*::test_, \d+ failed.*\d+ passed",True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034410147706572800,1220,FAILURE,1773876157,1773881325,5168,1773879104,1773879115,1773879325,1773881309,2947,210,2000,e2e-predictor,setup:install,Timed out.*waiting for CRD,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034407582218588160,1220,ABORTED,1773875547,1773876146,599,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034406683412795392,1243,SUCCESS,1773875332,1773880347,5015,1773877026,1773877039,1773878055,1773880332,1694,1016,2292,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034397161415774208,1196,FAILURE,1773873061,1773878329,5268,1773874989,1773874996,1773875974,1773878314,1928,978,2355,e2e-predictor,test:assertion,"FAILED .*::test_, \d+ failed.*\d+ passed",True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034395813249028096,1196,ABORTED,1773872740,1773873042,302,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034386067599134720,1196,ABORTED,1773870417,1773875141,4724,1773872285,1773872293,1773872746,1773875126,1868,453,2395,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034380864401444864,1196,ABORTED,1773869174,1773872520,3346,1773870428,,,1773872504,1254,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034379964798734336,1196,ABORTED,1773868961,1773869166,205,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034357763177451520,1196,ABORTED,1773863667,1773869205,5538,1773865922,1773865939,1773867010,1773869188,2255,1071,2195,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034302368794808320,1220,FAILURE,1773850461,1773854995,4534,1773852667,1773852675,1773852870,1773854980,2206,195,2125,e2e-predictor,setup:install,Timed out.*waiting for CRD,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034255774955343872,1196,FAILURE,1773839352,1773852658,13306,1773841469,1773841477,1773848707,,2117,7230,3951,e2e-predictor,test:other,,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034202310648795136,1196,FAILURE,1773826605,1773827419,814,1773827341,,,1773827403,736,,,,platform:ci-infra,jq: error,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034200033804423168,1196,ABORTED,1773826063,1773826599,536,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2034028559395196928,1196,FAILURE,1773785179,1773786679,1500,,,,,,,,,platform:provision,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033998995788926976,1149,FAILURE,1773778131,1773782551,4420,1773781014,,,1773782535,2883,,,,platform:provision,timed out.*hostedclusters/,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033997947170983936,1149,ABORTED,1773777881,1773778114,233,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033988864699273216,1196,FAILURE,1773775716,1773779533,3817,1773778691,,,1773779517,2975,,,,platform:provision,timed out.*hostedclusters/,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033979723595386880,1221,FAILURE,1773773536,1773778162,4626,1773776585,,,1773778146,3049,,,,platform:provision,timed out.*hostedclusters/,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033960114628595712,1149,FAILURE,1773768861,1773773017,4156,1773772020,,,1773773001,3159,,,,platform:provision,timed out.*hostedclusters/,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033932240890630144,1220,FAILURE,1773762216,1773767280,5064,1773765790,,,1773767264,3574,,,,platform:provision,timed out.*hostedclusters/,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033923481023811584,1223,ABORTED,1773760128,1773760133,5,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033918043494551552,1196,FAILURE,1773758830,1773764579,5749,1773763703,,,1773764564,4873,,,,platform:provision,timed out.*hostedclusters/,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033917888414355456,1196,ABORTED,1773758796,1773758819,23,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033911766215299072,1196,ABORTED,1773757333,1773758783,1450,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033902587266207744,1196,ABORTED,1773755144,1773757313,2169,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033900577112461312,1140,FAILURE,1773754667,1773767322,12655,,,,,,,,,platform:provision,,True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033876883128455168,1196,ABORTED,1773749019,1773758735,9716,1773751959,,,,2940,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033852487940706304,1221,FAILURE,1773743202,1773753181,9979,1773745762,1773745774,1773750545,1773753166,2560,4771,2636,e2e-predictor,test:assertion,"FAILED .*::test_, \d+ failed.*\d+ passed",True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033845336413310976,1217,ABORTED,1773741498,1773749140,7642,1773744847,1773744861,1773747056,1773749125,3349,2195,2084,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033843315274682368,1196,ABORTED,1773741013,1773752609,11596,1773742653,1773742660,1773749024,,1640,6364,3585,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033835152500592640,1196,ABORTED,1773739068,1773743215,4147,1773740389,1773740421,1773741016,1773743200,1321,595,2199,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033832187219939328,1196,ABORTED,1773738359,1773739057,698,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033831611438469120,1196,ABORTED,1773738222,1773738348,126,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033830959870119936,1196,ABORTED,1773738068,1773738211,143,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033830573381783552,1196,ABORTED,1773737975,1773737994,19,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033830495984291840,1196,ABORTED,1773737960,1773737965,5,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033740714810019840,1195,FAILURE,1773716552,1773725657,9105,1773718199,1773718211,1773721656,,1647,3445,4001,e2e-predictor,test:assertion,"FAILED .*::test_, \d+ failed.*\d+ passed",True
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033692445576794112,1217,SUCCESS,1773705044,1773712898,7854,1773706673,1773706684,1773710432,1773712883,1629,3748,2466,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033677824178524160,1195,SUCCESS,1773701558,1773709081,7523,1773703379,1773703386,1773707166,1773709066,1821,3780,1915,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033666130182148096,1195,ABORTED,1773698771,1773703495,4724,1773700237,1773700254,1773701564,1773703479,1466,1310,1931,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033661586769448960,1195,ABORTED,1773697685,1773700772,3087,1773698785,,,1773700757,1100,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033660792619929600,1195,ABORTED,1773697497,1773697673,176,,,,,,,,,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033637612194893824,1196,SUCCESS,1773691970,1773698886,6916,1773693306,1773693315,1773696976,1773698871,1336,3661,1910,e2e-predictor,,,False
pull-ci-opendatahub-io-kserve-master-e2e-predictor,2033637370556846080,1196,ABORTED,1773691912,1773691957,45,,,,,,,,,,,False
